channel_id,channel_name,reason
"1013648","UK: NETFLIX ACTION 2","no exact Logopedia page found"
"1013649","UK: NETFLIX ACTION 1","no exact Logopedia page found"
"1013650","###### / ######","no exact Logopedia page found"
"1013647","UK: NETFLIX STAND-UP","no exact Logopedia page found"
"1013645","UK: NETFLIX ROMANCE","no exact Logopedia page found"
"1013646","UK: NETFLIX DRAMA","no exact Logopedia page found"
"1013642","UK: NETFLIX SCI-FI","no exact Logopedia page found"
"1013644","UK: NETFLIX WAR","no exact Logopedia page found"
"1013643","UK: NETFLIX STAND UP COMEDY","no exact Logopedia page found"
"1013640","UK: NETFLIX HORROR","no exact Logopedia page found"
"1013641","UK: NETFLIX MUSIC","no exact Logopedia page found"
"1013639","UK: NETFLIX DOCUMENTARY","no exact Logopedia page found"
"1013636","UK: NETFLIX ACTION","no exact Logopedia page found"
"1013637","UK: NETFLIX COMEDY","no exact Logopedia page found"
"1013638","UK: NETFLIX CRIME","no exact Logopedia page found"
"1013635","UK: DISNEY+ ROMANCE","no exact Logopedia page found"
"1013633","UK: DISNEY+ NAT GEO","no exact Logopedia page found"
"1013632","UK: DISNEY+ MARVEL","no exact Logopedia page found"
"1013631","UK: DISNEY+ KIDS","no exact Logopedia page found"
"1013630","UK: DISNEY+ COMEDY","no exact Logopedia page found"
"1013629","UK: DISNEY+ CLASSIC","no exact Logopedia page found"
"1013628","UK: WAYANS BROS","no exact Logopedia page found"
"1013625","UK: HONEYMOONERS","no exact Logopedia page found"
"1013624","UK: DICK VAN DYKE","no exact Logopedia page found"
"1013621","UK: EXPLAINED","no exact Logopedia page found"
"1013618","UK: GUARDIANS OF THE GALAXY","no exact Logopedia page found"
"1013612","UK: THOR","no exact Logopedia page found"
"1013609","UK: GARDIANS OF THE GALAXY","no exact Logopedia page found"
"1013607","UK: ANIME TV","no exact Logopedia page found"
"1013606","UK: DR STRANGE","no exact Logopedia page found"
"1013603","UK: VAN DAMME","no exact Logopedia page found"
"1013604","UK: ANT-MAN","no exact Logopedia page found"
"1013598","UK: ANNABELLE","no exact Logopedia page found"
"1013599","UK: BRIDGET JONES DIARY","no exact Logopedia page found"
"1013597","UK: ALVIN","no exact Logopedia page found"
"1013594","UK: DIE HARD","no exact Logopedia page found"
"1588428","UK: 24 HOURS IN POLICE CUSTODY","no exact Logopedia page found"
"1013589","UK: JURASSIC WORLD/PARK","no exact Logopedia page found"
"1013588","UK: TOMB RAIDER","no exact Logopedia page found"
"1013585","UK: MORTAL KOMBAT","no exact Logopedia page found"
"1013581","UK: RESIDENT EVIL","no exact Logopedia page found"
"1013571","UK: THE CROCODILE DUNDEE","no exact Logopedia page found"
"1013572","UK: STEP UP","no exact Logopedia page found"
"1013567","UK: THE HANGOVER","no exact Logopedia page found"
"1013563","UK: THE MAZE RUNNER","no exact Logopedia page found"
"1013562","UK: TERMINATOR","no exact Logopedia page found"
"1013557","UK: NETFLIX ADVENTURE","no exact Logopedia page found"
"1013553","UK: NETFLIX MYSTERY","no exact Logopedia page found"
"1013554","UK: NETFLIX HISTORY","no exact Logopedia page found"
"1013552","UK: NETFLIX TOP TEN","no exact Logopedia page found"
"1013550","UK: NETFLIX ASIAN","no exact Logopedia page found"
"1013548","UK: NETFLIX DUBBED","no exact Logopedia page found"
"1013546","UK: NETFLIX KIDS","no exact Logopedia page found"
"1013544","UK: NETFLIX THRILLER","no exact Logopedia page found"
"1013543","UK: NETFLIX WWE","no exact Logopedia page found"
"1013541","UK: DEKKOO","no exact Logopedia page found"
"1013539","UK: EROS","no exact Logopedia page found"
"1013540","UK: EPIX","no exact Logopedia page found"
"1013535","UK: NXT","no exact Logopedia page found"
"1013534","UK: REVRY","no exact Logopedia page found"
"1013530","UK: WAR MOVIES 2","no exact Logopedia page found"
"1013529","UK: WAR MOVIES 3","no exact Logopedia page found"
"1013531","UK: WAR MOVIES 1","no exact Logopedia page found"
"1013527","UK: CLASSIC WAR MOVIES 1","no exact Logopedia page found"
"1013528","UK: WAR MOVIES 4","no exact Logopedia page found"
"1013523","UK: CLASSIC WAR MOVIES 2","no exact Logopedia page found"
"1013524","UK: WAR MOVIES 5","no exact Logopedia page found"
"1013520","UK: 80S MOVIES","no exact Logopedia page found"
"1013517","UK: STEVEN SEGAL","no exact Logopedia page found"
"1013518","UK: BRAD PITT","no exact Logopedia page found"
"1013514","UK: PIXAR CHANNEL","no exact Logopedia page found"
"1013515","UK: TOM HARDY COLLECTION","no exact Logopedia page found"
"1013516","UK: TOP MOVIES","no exact Logopedia page found"
"1013513","UK: DISCOVERY+ DOC 1","no exact Logopedia page found"
"1013512","UK: DISCOVERY+ DOC 2","no exact Logopedia page found"
"1013511","UK: DISCOVERY+ IMAX","no exact Logopedia page found"
"1013508","UK: HORROR CHANNEL","no exact Logopedia page found"
"1013506","UK: JET LI MOVIES","no exact Logopedia page found"
"1013505","UK: SYLVESTER STALLON","no exact Logopedia page found"
"1013507","UK: JAMES BOND 007","no exact Logopedia page found"
"1013502","UK: ARNOLD SCHWARZNEGGER","no exact Logopedia page found"
"1013503","UK: JOHNNY DEPP","no exact Logopedia page found"
"1013504","UK: LIAM NESSON","no exact Logopedia page found"
