# CANADA / CA CHANNEL LIST
# FULL PROVIDER EXPORT - GROUPS, CHANNEL NAMES, AND IDs
#

# ==================================================
# GROUP: CA| CANADA WEST PPV
# ==================================================
####### CANADA WEST PPV ####### | STREAM_ID=1132429 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 1 | STREAM_ID=1132428 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 10 | STREAM_ID=1132419 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 11 | STREAM_ID=1132418 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 12 | STREAM_ID=1132417 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 13 | STREAM_ID=1132416 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 14 | STREAM_ID=1132415 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 15 | STREAM_ID=1132414 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 16 | STREAM_ID=1132413 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 17 | STREAM_ID=1132412 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 18 | STREAM_ID=1132411 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 19 | STREAM_ID=1132410 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 2 | STREAM_ID=1132427 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 20 | STREAM_ID=1132409 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 21 | STREAM_ID=1132408 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 22 | STREAM_ID=1132407 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 23 | STREAM_ID=1132406 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 24 | STREAM_ID=1132405 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 25 | STREAM_ID=1132404 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 26 | STREAM_ID=1132403 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 27 | STREAM_ID=1132402 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 28 | STREAM_ID=1132401 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 29 | STREAM_ID=1132400 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 3 | STREAM_ID=1132426 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 30 | STREAM_ID=1132399 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 31 | STREAM_ID=1132398 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 32 | STREAM_ID=1132397 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 33 | STREAM_ID=1132396 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 34 | STREAM_ID=1132395 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 35 | STREAM_ID=1132394 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 36 | STREAM_ID=1132393 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 37 | STREAM_ID=1132392 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 38 | STREAM_ID=1132391 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 39 | STREAM_ID=1132390 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 4 | STREAM_ID=1132425 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 40 | STREAM_ID=1132389 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 41 | STREAM_ID=1132388 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 42 | STREAM_ID=1132387 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 43 | STREAM_ID=1132386 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 44 | STREAM_ID=1132385 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 45 | STREAM_ID=1132384 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 46 | STREAM_ID=1132383 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 47 | STREAM_ID=1132382 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 48 | STREAM_ID=1132381 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 49 | STREAM_ID=1132380 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 5 | STREAM_ID=1132424 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 50 | STREAM_ID=1132379 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 6 | STREAM_ID=1132423 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 7 | STREAM_ID=1132422 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 8 | STREAM_ID=1132421 | EPG_CHANNEL_ID=
- NO EVENT STREAMING - | 8K EXCLUSIVE | CA: CANADA WEST PPV 9 | STREAM_ID=1132420 | EPG_CHANNEL_ID=

# ==================================================
# GROUP: CA| CANADA ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
# ==================================================
#### CANADA ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #### | STREAM_ID=498338 | EPG_CHANNEL_ID=
CA EN: CTV CALGARY | STREAM_ID=1231872 | EPG_CHANNEL_ID=ctvcalgary.ca
CA EN: CTV WINNIPEG HD | STREAM_ID=1148306 | EPG_CHANNEL_ID=ctvwinnipeg.ca
CA EN: GLOBAL TORONTO HD | STREAM_ID=1709470 | EPG_CHANNEL_ID=globaltoronto.ca
CA EN: UNIVISION HD | STREAM_ID=722119 | EPG_CHANNEL_ID=
CA:  CTV Sudbury HD | STREAM_ID=771089 | EPG_CHANNEL_ID=ctvsudbury.ca
CA: A & E | STREAM_ID=498798 | EPG_CHANNEL_ID=AandE.ca
CA: ADDIK TV | STREAM_ID=498797 | EPG_CHANNEL_ID=AddikTV.ca
CA: AHC | STREAM_ID=498796 | EPG_CHANNEL_ID=
CA: AMC | STREAM_ID=498795 | EPG_CHANNEL_ID=AMC.ca
CA: ANIMAL PLANET | STREAM_ID=498794 | EPG_CHANNEL_ID=AnimalPlanet.ca
CA: APTN | STREAM_ID=498793 | EPG_CHANNEL_ID=APTN.ca
CA: BBC CANADA | STREAM_ID=498791 | EPG_CHANNEL_ID=
CA: BBC WORLD NEWS | STREAM_ID=498790 | EPG_CHANNEL_ID=BBCWorld.ca
CA: Best Hits Radio 80's | STREAM_ID=498611 | EPG_CHANNEL_ID=
CA: BET | STREAM_ID=498788 | EPG_CHANNEL_ID=BET.ca
CA: BNN | STREAM_ID=498787 | EPG_CHANNEL_ID=BusinessNewsNetworkBloomberg.ca
CA: BRAVO | STREAM_ID=498785 | EPG_CHANNEL_ID=Bravo.us
CA: CANAL D | STREAM_ID=498784 | EPG_CHANNEL_ID=CanalD.ca
CA: CARTOON NETWORK | STREAM_ID=498782 | EPG_CHANNEL_ID=CartoonNetwork.ca
CA: CBC CALGARY | STREAM_ID=498636 | EPG_CHANNEL_ID=CBRT.ca
CA: CBC MONTREAL | STREAM_ID=498780 | EPG_CHANNEL_ID=CBMT.ca
CA: CBC NEWS | STREAM_ID=498779 | EPG_CHANNEL_ID=CBCNews.ca
CA: CBC OTTAWA | STREAM_ID=498778 | EPG_CHANNEL_ID=CBCOttawa.ca
CA: CBC TORONTO | STREAM_ID=498777 | EPG_CHANNEL_ID=CBC.ca
CA: CBC VANCOUVER | STREAM_ID=498776 | EPG_CHANNEL_ID=CBUT.ca
CA: CBS EAST | STREAM_ID=498775 | EPG_CHANNEL_ID=
CA: CBS WEST | STREAM_ID=498774 | EPG_CHANNEL_ID=
CA: CHCH | STREAM_ID=498773 | EPG_CHANNEL_ID=CHCH.ca
CA: CINEPOP | STREAM_ID=498772 | EPG_CHANNEL_ID=Cinepop.ca
CA: CITY TV  WINNIPEG HD | STREAM_ID=704101 | EPG_CHANNEL_ID=
CA: CITY TV CALGARY HD | STREAM_ID=498635 | EPG_CHANNEL_ID=
CA: CITY TV MONTREAL | STREAM_ID=498771 | EPG_CHANNEL_ID=
CA: CITY TV SASKATCHEWAN HD | STREAM_ID=704100 | EPG_CHANNEL_ID=
CA: CITY TV TORONTO | STREAM_ID=498770 | EPG_CHANNEL_ID=
CA: CITY TV VANCOUVER | STREAM_ID=498769 | EPG_CHANNEL_ID=CityTVVancouver.ca
CA: CJWV Oldies 96.7 FM | STREAM_ID=498612 | EPG_CHANNEL_ID=
CA: CMT CANADA | STREAM_ID=498768 | EPG_CHANNEL_ID=CMT.ca
CA: CNBC | STREAM_ID=498813 | EPG_CHANNEL_ID=
CA: CNN | STREAM_ID=498815 | EPG_CHANNEL_ID=
CA: CNN INTERNATIONAL | STREAM_ID=498814 | EPG_CHANNEL_ID=
CA: COOKING CHANNEL | STREAM_ID=498767 | EPG_CHANNEL_ID=CookingChannel.ca
CA: COTTAGE LIFE | STREAM_ID=498766 | EPG_CHANNEL_ID=CottageLife.ca
CA: CP24 HD | STREAM_ID=498816 | EPG_CHANNEL_ID=Cp24.ca
CA: CPAC | STREAM_ID=498765 | EPG_CHANNEL_ID=
CA: CPAC FRENCH | STREAM_ID=498764 | EPG_CHANNEL_ID=CPAC.ca
CA: CRAVE 1 / TMN 1 | STREAM_ID=498634 | EPG_CHANNEL_ID=Crave1.ca
CA: CRAVE 2 / TMN 2 | STREAM_ID=498633 | EPG_CHANNEL_ID=Crave2.ca
CA: CRAVE 3 / TMN 3 | STREAM_ID=498632 | EPG_CHANNEL_ID=Crave3.ca
CA: CRAVE 4 / TMN 4 | STREAM_ID=498631 | EPG_CHANNEL_ID=Crave4.ca
CA: CRIME & INVESTIGATION | STREAM_ID=498763 | EPG_CHANNEL_ID=CrimeInvestigation.ca
CA: CTV 2 OTTAWA | STREAM_ID=498756 | EPG_CHANNEL_ID=CHRO.ca
CA: CTV Comedy HD | STREAM_ID=744354 | EPG_CHANNEL_ID=CTVComedy.ca
CA: CTV Drama Channel | STREAM_ID=611721 | EPG_CHANNEL_ID=CTVDrama.ca
CA: CTV LETHBRIDGE | STREAM_ID=498783 | EPG_CHANNEL_ID=
CA: CTV MONTREAL HD | STREAM_ID=1245815 | EPG_CHANNEL_ID=CFCF.ca
CA: CTV NATURE CANADA | STREAM_ID=498751 | EPG_CHANNEL_ID=DiscoveryScience.ca
CA: CTV News Edmonton HD | STREAM_ID=706429 | EPG_CHANNEL_ID=
CA: CTV NEWS MONTREAL | STREAM_ID=498629 | EPG_CHANNEL_ID=
CA: CTV NEWS NETWORK | STREAM_ID=498760 | EPG_CHANNEL_ID=CTVNC.ca
CA: CTV News Regina HD | STREAM_ID=813889 | EPG_CHANNEL_ID=CKCK.ca
CA: CTV OTTAWA | STREAM_ID=498759 | EPG_CHANNEL_ID=CTVOH.ca
CA: CTV SASKATOON SASKATCHEWAN HD | STREAM_ID=1196705 | EPG_CHANNEL_ID=CFQC.ca
CA: CTV SCIFI HD | STREAM_ID=498733 | EPG_CHANNEL_ID=ctvscifichannel.ca
CA: CTV Timmins HD | STREAM_ID=771088 | EPG_CHANNEL_ID=
CA: CTV TORONTO | STREAM_ID=498758 | EPG_CHANNEL_ID=CTVHT.ca
CA: CW 11 | STREAM_ID=498755 | EPG_CHANNEL_ID=KSTW.us
CA: DAYSTAR TV | STREAM_ID=498754 | EPG_CHANNEL_ID=Daystar.us
CA: DEJAVIEW | STREAM_ID=498753 | EPG_CHANNEL_ID=DejaView.ca
CA: DISCOVERY CANADA | STREAM_ID=498752 | EPG_CHANNEL_ID=DiscoveryChannel.ca
CA: DISNEY CHANNEL | STREAM_ID=498750 | EPG_CHANNEL_ID=DisneyChannel.ca
CA: DISNEY JUNIOR | STREAM_ID=498748 | EPG_CHANNEL_ID=DisneyJunior.ca
CA: DISNEY JUNIOR FRANCE | STREAM_ID=498749 | EPG_CHANNEL_ID=DisneyJunior.ca
CA: DIY | STREAM_ID=498747 | EPG_CHANNEL_ID=
CA: DOCUMENTARY | STREAM_ID=498746 | EPG_CHANNEL_ID=DocumentaryChannel.ca
CA: DTOUR | STREAM_ID=498745 | EPG_CHANNEL_ID=Dtour.ca
CA: E! ENTERTAINMENT | STREAM_ID=498744 | EPG_CHANNEL_ID=EEntertainment.ca
CA: EVASION | STREAM_ID=498743 | EPG_CHANNEL_ID=CanalEvasion.ca
CA: FAMILY CHRGD | STREAM_ID=498742 | EPG_CHANNEL_ID=
CA: FAMILY EAST | STREAM_ID=498741 | EPG_CHANNEL_ID=
CA: FAMILY JR | STREAM_ID=498740 | EPG_CHANNEL_ID=FamilyJr.ca
CA: FAMILY WEST | STREAM_ID=498739 | EPG_CHANNEL_ID=
CA: FIGHT NETWORK | STREAM_ID=498738 | EPG_CHANNEL_ID=FightNetwork.ca
CA: FOOD NETWORK | STREAM_ID=498737 | EPG_CHANNEL_ID=FoodNetwork.ca
CA: FOX EAST | STREAM_ID=498736 | EPG_CHANNEL_ID=
CA: FOX NEWS | STREAM_ID=498735 | EPG_CHANNEL_ID=
CA: FRISSON | STREAM_ID=498628 | EPG_CHANNEL_ID=FrissonsTV.ca
