SERIES CATEGORIES
=================

Total categories: 355

CATEGORY ID | CATEGORY NAME
------------|--------------
1120 | 2026 رمضانك أردني فلسطيني
886 | 2026 رمضانك فائق الوضوح
1818 | AFRICA CINAF TV SERIES
1785 | AFRICA IROKO TV SERIES
1184 | AFRICA SERIES
710 | ALBANIA SERIALE
1031 | AMAZON DOCU-SERIES
1032 | AMAZON DOCU-SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
498 | AMAZON KIDS
1005 | AMAZON KIDS ⁴ᴷ ³⁸⁴⁰ᴾ
1042 | AMAZON REALITY
2316 | AMAZON REALITY ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ ⁴ᴷ ³⁸⁴⁰ᴾ
497 | AMAZON SERIES
1004 | AMAZON SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
1052 | APPLE+ DOCU-SERIES
1053 | APPLE+ DOCU-SERIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
324 | APPLE+ KIDS
435 | APPLE+ KIDS ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
323 | APPLE+ SERIES
434 | APPLE+ SERIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
1154 | ASIA SERIES (MULTI-SUBS)
1003 | BELGIUM DOCU-SERIES (NL)
1012 | BELGIUM KIDS (FR)
1002 | BELGIUM KIDS (NL)
1001 | BELGIUM REALITY (NL)
1010 | BELGIUM SERIES (FR)
1000 | BELGIUM SERIES (NL)
1388 | BULGARIYA SERIAL
233 | CHINA ANIMATION
1149 | CRUNCHYROLL SERIES (MULTI-SUBS)
776 | DANSK SERIE
2120 | DANSK SERIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
777 | DANSKE BØRN
526 | DISCOVERY+ SERIES
899 | DISCOVERY+ SERIES MENA
2294 | DISNEY+ ASIA SERIES
2295 | DISNEY+ ASIA SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
486 | DISNEY+ DOCU-SERIES
322 | DISNEY+ KIDS SERIES
2249 | DISNEY+ PODCAST
908 | DISNEY+ SERIES
761 | DISNEY+ SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
216 | ENGLISH KIDS
2264 | ENGLISH REALITY SERIES
156 | ENGLISH SERIES
1898 | ENGLISH SERIES ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1270 | ENGLISH SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
896 | ESPAÑA AMAZON PRIME
1213 | ESPAÑA ANIMACIÓN
895 | ESPAÑA APPLE TV+
1436 | ESPAÑA ATRESPLAYER - STARZ - RTVE
894 | ESPAÑA DISNEY+
673 | ESPAÑA DOCUMENTAL
1085 | ESPAÑA HBO MAX
1324 | ESPAÑA HULU
563 | ESPAÑA INFANTILES
1209 | ESPAÑA MOVISTAR
893 | ESPAÑA NETFLIX
897 | ESPAÑA PARAMOUNT+
683 | ESPAÑA REALITY TV SHOWS
562 | ESPAÑA SERIES
2155 | ESPAÑA SERIES NOVELA TURCAS
2011 | ESPAÑA SERIES SUBTITLES
1894 | ESPAÑA SERIES ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1256 | ESPAÑA SERIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
2192 | ESPAÑA SERIES ⁴ᴷ ᴴᴰᴿ ᴰᴼᴸᴮʸ ⱽᴵˢᴵÓᴺ
1434 | ESPAÑA SKYSHOWTIME
677 | ESPAÑA TELENOVELAS
1814 | ESPAÑA VIX PREMIUM
1625 | FRANCE ACTION
1741 | FRANCE ANIMATION SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
610 | FRANCE ANIME
1691 | FRANCE ASIA SERIES
1622 | FRANCE COMEDIE
1205 | FRANCE DERNIER AJOUT
874 | FRANCE DOCUMENTAIRE
1628 | FRANCE DRAMA
214 | FRANCE ENFANTS
1104 | FRANCE FOX+
628 | FRANCE NETFLIX
1724 | FRANCE NETFLIX 2025
1723 | FRANCE REALITY SHOW
1681 | FRANCE SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
153 | FRANCE SÉRIES
1708 | FRANCE VOSTFR
663 | GERMANY ANIME
1395 | GERMANY ANIME NETFLIX
900 | GERMANY ANIME SUBS
2093 | GERMANY APPLE ⁴ᴷ ³⁸⁴⁰ᴾ
1492 | GERMANY APPLE+
817 | GERMANY DOKUMENTATION
2190 | GERMANY HBO MAX
1659 | GERMANY KIDS NETFLIX
210 | GERMANY KINDER
1136 | GERMANY MARVEL STUDIOS
630 | GERMANY NETFLIX
847 | GERMANY PARAMOUNT+
2141 | GERMANY PARAMOUNT+ & MTV STUDIOS ⁴ᴷ ³⁸⁴⁰ᴾ
2360 | GERMANY PARAMOUNT+ ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
1236 | GERMANY PRIME
2037 | GERMANY PRIME ⁴ᴷ ³⁸⁴⁰ᴾ
951 | GERMANY REALITY TV SHOW
1974 | GERMANY RTL+
209 | GERMANY SERIE
756 | GERMANY SERIE ⁴ᴷ ³⁸⁴⁰ᴾ
2364 | GERMANY SHOWTIME
2365 | GERMANY SHOWTIME ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
2234 | GREECE ANIME
726 | GREECE INTERNATIONAL SERIES
727 | GREECE KIDS
1048 | GREECE TURKISH SERIES
1650 | GREEK REALITY SHOWS
795 | GREEK SERIES TV
1854 | HBO MAX (ADULT SWIM)
1855 | HBO MAX DOCU-SERIES
2372 | HBO MAX PODCAST
1852 | HBO MAX SERIES
1851 | HBO MAX SERIES ⁴ᴷ ³⁸⁴⁰ᴾ
1931 | HEBREW EN SERIES
1555 | HEBREW KAN BOX 11
2201 | HEBREW KOR דרמות אסייתיות
1471 | HEBREW MAKO +
