MOVIE / VOD CATEGORIES
======================

Total categories: 430

CATEGORY ID | CATEGORY NAME
------------|--------------
1819 | AF - CINAF TV
1803 | AF - IBAKA TV
1784 | AF - IROKO TV
754 | AL - ARKIVA 1980/2023
140 | AL - FILMA 24/25
1924 | AL - FILMA SHQIPTAR
1562 | AL - PËR FËMIJË
1034 | AMAZON DOCU-MOVIES
1035 | AMAZON DOCU-MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
992 | AMAZON KIDS
1006 | AMAZON KIDS ⁴ᴷ ³⁸⁴⁰ᴾ
440 | AMAZON MOVIES
1007 | AMAZON MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
328 | APPLE+ KIDS
432 | APPLE+ KIDS ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
327 | APPLE+ MOVIES
431 | APPLE+ MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᵒˡᵇʸ ⱽᶦˢᶦᵒⁿ
1704 | ASIA MOVIES (MULTI-SUBS)
1041 | BE - DOCU-MOVIES (NL)
113 | BG - MOMVIES
1372 | BG - БЪЛГАРИЯ ДЕЦА
1373 | BG - БЪЛГАРИЯ ФИЛМ
1382 | BG - ПОСЛЕДНИ ДОПЪЛНЕНИЯ
1352 | BN - BENGALI
277 | BR - KIDS
276 | BR - MOVIES
904 | CHRISTIAN MOVIES
1045 | CN - CHINA FILM
845 | DANSKE BØRN
146 | DANSKE FILM
2147 | DANSKE FILM ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1740 | DE -  BUD SPENCER & TERENCE HILL
873 | DE - AMAZON PRIME PRODUKTION
611 | DE - ANIME FILME
1217 | DE - ANIME MOVIES SUBS
660 | DE - ANIME ⁴ᴷ ³⁸⁴⁰ᴾ
655 | DE - APPLE+ FILME PRODUKTION
1114 | DE - BLURAY FILME ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
846 | DE - BOLLYWOOD
652 | DE - DISNEY+ PRODUKTION
816 | DE - DOKUMENTATION
117 | DE - FILME 1940/2024
169 | DE - FILME 2025/2026
1250 | DE - FILME 3D
425 | DE - FILME ⁴ᴷ ³⁸⁴⁰ᴾ
1204 | DE - FORMULA 1
1170 | DE - FUSSBALL
657 | DE - IMDB TOP 100
869 | DE - JAMES BOND 007
1251 | DE - KINDER 3D
134 | DE - KINDER FILME
426 | DE - KINDER FILME ⁴ᴷ ³⁸⁴⁰ᴾ
648 | DE - MARVEL VS DC
627 | DE - NETFLIX PRODUKTION
858 | DE - STUDIO GHIBLI
2169 | DE - WEIHNACHTS FILME
1524 | DE - WESTERN
1173 | DE - WRESTLING
763 | DISCOVERY+ MOVIES
2296 | DISNEY+ DOCU-MOVIES
2297 | DISNEY+ DOCU-MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
326 | DISNEY+ KIDS MOVIES
1070 | DISNEY+ KIDS MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
325 | DISNEY+ MOVIES
1069 | DISNEY+ MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
2351 | DISNEY+ STAND-UP COMEDY
1074 | DREAMWORKS ANIMATION
119 | EN - 2020 & OLD
275 | EN - ACTION
309 | EN - ADVENTURE
170 | EN - Biblical
388 | EN - BOXING
269 | EN - CHRISTMAS
225 | EN - COLLECTIONS
274 | EN - COMEDY
272 | EN - CONCERTS
192 | EN - DOCUMENTARIES
287 | EN - DRAMA
2048 | EN - FAMILY
273 | EN - HORROR
1453 | EN - IMDB TOP 250
1939 | EN - ITALIAN SUB ENG
173 | EN - KIDS
218 | EN - KIDS ⁴ᴷ ³⁸⁴⁰ᴾ
429 | EN - MANGA/ANIME
217 | EN - MOVIES ⁴ᴷ ³⁸⁴⁰ᴾ
289 | EN - MUSICAL
163 | EN - NEW RELEASE
288 | EN - ROMANCE
281 | EN - SCIENCE FICTION
282 | EN - THRILLER
387 | EN - UFC
241 | EN - WESTERNS
439 | EN - WORKOUT
310 | EN - WWE
682 | ES - DOCUMENTALES
2105 | ES - FORMULA 1
205 | ES - INFANTILES Y FAMILIAS
2106 | ES - MOTOGP
888 | ES - NETFLIX
2154 | ES - PARTIDOS DE LALIGA
128 | ES - PELÍCULAS
1150 | ES - PELÍCULAS 2024
1718 | ES - PELÍCULAS 2025
2178 | ES - PELÍCULAS 2026
1489 | ES - PELÍCULAS ANIMACION
1274 | ES - PELÍCULAS ANTIGUAS Y SAGAS
1365 | ES - PELÍCULAS CLASICO
2136 | ES - PELÍCULAS DE NAVIDAD
2240 | ES - PELÍCULAS SUBTITLES
1260 | ES - PELÍCULAS TERROR
1893 | ES - PELÍCULAS ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
887 | ES - PELÍCULAS ⁴ᴷ ³⁸⁴⁰ᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
2148 | ES - PELÍCULAS ⁴ᴷ ᴴᴰᴿ ᴰᴼᴸᴮʸ ⱽᴵˢᴵÓᴺ
1146 | ES - PRIME+
87 | EX - MOVIES
382 | FOR ADULTS
126 | FR - 2021 ANCIEN FILM
1541 | FR - ACTEURS FRANCAIS
791 | FR - ACTION
1537 | FR - AMAZONE
790 | FR - ANIMEE
1549 | FR - ART MARTIAUX
1545 | FR - ASIATIQUE
2075 | FR - AUDIO-DESCRIPTION
1281 | FR - BASKETBALL
1542 | FR - BOX OFFICE
1423 | FR - COMBAT FILMS
793 | FR - COMEDIE
1097 | FR - CRIME
1275 | FR - CYCLISME
1552 | FR - DISNEY
1098 | FR - DOCUMENTAIRS
792 | FR - DRAME
400 | FR - ENFANTS
172 | FR - ENFANTS ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ ⁴ᴷ ³⁸⁴⁰ᴾ
2038 | FR - EXCLUSIVITÉ
1276 | FR - F1
1556 | FR - FANTASTIQUE AVENTURE
1752 | FR - FILM 1940-1980
1285 | FR - FILM 2022
1284 | FR - FILM 2023
1719 | FR - FILM 2024
1829 | FR - FILM CAM
171 | FR - FILM ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ ⁴ᴷ ³⁸⁴⁰ᴾ
2174 | FR - FILM ⁴ᴷ ᴴᴰᴿ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1685 | FR - FILMS EN SAGA ⁴ᴷ ³⁸⁴⁰ᴾ
1277 | FR - FOOTBALL
1279 | FR - GOLF
1360 | FR - GUERRE FILMS
1278 | FR - HANDBALL
1579 | FR - HISTORIQUE BIOPIC
794 | FR - HORREUR
1093 | FR - LE DRENIER AJOUTEE
1895 | FR - LE DRENIER AJOUTEE ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
1525 | FR - MANGA
1280 | FR - MOTO
1100 | FR - MUSIQUE
1720 | FR - NETFLIX 2025
629 | FR - NETFLIX FILMS
1669 | FR - PARAMOUNT+
1282 | FR - RUGBY
1101 | FR - SCIENCE-FICTION
868 | FR - THRILLER
1699 | FR - VOSTFR
1283 | FR - WRC
2232 | GR - ANIME
1164 | GR - APPLE+
1019 | GR - CHRISTMAS MOVIES
1159 | GR - DISNEY+
1165 | GR - DOCUMENTARY
2366 | GR - FIFA WORLD CUP 2026
2374 | GR - FORMULA 1
1155 | GR - GREEK THEATER
2233 | GR - HBO MAX
2166 | GR - HORROR
2300 | GR - MARVEL MOVIES
1167 | GR - NETFLIX
2067 | GR - NEW RELEASES 2026
1158 | GR - PRIME AMAZON
1366 | GR - ΕΛΛΗΝΙΚΕΣ ΤΑΙΝΕΣ
1018 | GR - ΚΑΡΑΟΚΕ
135 | GR - ΚΙΝΗΜΑΤΟΓΡΑΦΟΣ
815 | GR - ΠΑΙΔΙΚΑ
1778 | IL - FREE TV - סרטים
2336 | IL - HEBREW DOCU-MOVIES
1934 | IL - HEBREW EN KIDS MOVIES
1933 | IL - HEBREW EN MOVIES
1621 | IL - דיסני+ סרטים
1219 | IL - סרטים 2022 + ישן
1147 | IL - סרטים 2023 + האחרון
2116 | IN - ANIMATION
773 | IN - BOLLYWOOD'S
1662 | IN - CAM & NEW RELEASE
1651 | IN - EN HINDI
1597 | IN - GUJARATI MOVIES
1598 | IN - GUJARATI NATAK
88 | IN - HINDI
1938 | IN - HINDI ⁴ᴷ ³⁸⁴⁰ᴾ
1325 | IN - KANNADA
223 | IN - KIDS
1482 | IN - KOREAN HINDI DABBLING
222 | IN - MALAYALAM
270 | IN - MARATHI
1652 | IN - NEW RELEASE
189 | IN - PUNJABI
190 | IN - TAMIL
