Raw channels: 19287
Wanted missing channels: 43
Matched: 42
Still missing: 1

MATCH | COMET.us | COMET | score=483 | via="COMET" | site_id="comet-tv-katv2-little-rock-ar-hd/9280" | raw="Comet TV (KATV2) Little Rock, AR HD" | raw_xmltv_id="comet-tv-katv2-little-rock-ar-hd/9280"
MATCH | LAFF.us | LAFF | score=483 | via="LAFF.us" | site_id="laff--network-hd/20170" | raw="Laff - Network HD" | raw_xmltv_id="Laff.us@SD"
MATCH | METV.us | METV | score=483 | via="METV" | site_id="cbs-wgme-portland-me-hd/7037" | raw="CBS (WGME) Portland, ME HD" | raw_xmltv_id="WGMETV231.us@SD"
MATCH | OWN.us | OWN | score=504 | via="Oprah Winfrey Network" | site_id="oprah-winfrey-network-usa-eastern-hd/8587" | raw="Oprah Winfrey Network USA Eastern HD" | raw_xmltv_id="oprah-winfrey-network-usa-eastern-hd/8587"
MATCH | FREEFORM.us | Freeform | score=349 | via="FREEFORM.us" | site_id="freeform-hd--east-feed/6110" | raw="Freeform HD - East Feed" | raw_xmltv_id="Freeform.us@East"
MATCH | WE.TV.us | WE tv | score=481 | via="WETV" | site_id="we-womens-entertainment--eastern/664" | raw="WE (Women's Entertainment) - Eastern" | raw_xmltv_id="WeTV.us@East"
MATCH | OXYGEN.us | Oxygen | score=349 | via="OXYGEN.us" | site_id="oxygen-hd--eastern/6846" | raw="Oxygen HD - Eastern" | raw_xmltv_id="Oxygen.us@East"
MATCH | NICKELODEON.us | Nickelodeon | score=489 | via="Nick" | site_id="nickelodeon-usa--east-feed-hd/6342" | raw="Nickelodeon USA - East Feed HD" | raw_xmltv_id="Nickelodeon.us@East"
MATCH | LIFETIME.us | Lifetime | score=349 | via="Lifetime" | site_id="lifetime-movies-hd--east/4723" | raw="Lifetime Movies HD - East" | raw_xmltv_id="lifetime-movies-hd--east/4723"
MATCH | LMN.us | LMN | score=504 | via="Lifetime Movie Network" | site_id="lifetime-movies-hd--east/4723" | raw="Lifetime Movies HD - East" | raw_xmltv_id="lifetime-movies-hd--east/4723"
MATCH | TRAVEL.CHANNEL.us | Travel Channel | score=349 | via="TRAVEL.CHANNEL.us" | site_id="travel-us-hd--east/6150" | raw="Travel US HD - East" | raw_xmltv_id="travel-us-hd--east/6150"
MATCH | AANDE.us | A&E | score=489 | via="A and E" | site_id="ae-us-hd--eastern-feed/17034" | raw="A&E US HD - Eastern Feed" | raw_xmltv_id="ae-us-hd--eastern-feed/17034"
MATCH | BRAVO.us | Bravo | score=489 | via="BRAVO.us" | site_id="bravo-usa-hd--eastern-feed/6120" | raw="Bravo USA HD - Eastern Feed" | raw_xmltv_id="Bravo.us@East"
MATCH | TRUTV.us | truTV | score=489 | via="TRUTV.us" | site_id="trutv-usa--east-hd/6996" | raw="truTV USA - East HD" | raw_xmltv_id="truTV.us@East"
MATCH | SYFY.us | Syfy | score=489 | via="SYFY.us" | site_id="syfy-hd--eastern-feed/5643" | raw="Syfy HD - Eastern Feed" | raw_xmltv_id="Syfy.us@East"
MATCH | FX.us | FX | score=334 | via="FX.us" | site_id="fx-networks-east-coast-hd/6111" | raw="FX Networks East Coast HD" | raw_xmltv_id="FX.us@East"
MATCH | E.us | E! | score=349 | via="E Entertainment" | site_id="e-entertainment-usa-hd--east/6659" | raw="E! Entertainment USA HD - East" | raw_xmltv_id="E.us@East"
MATCH | TV.LAND.us | TV Land | score=489 | via="TV.LAND.us" | site_id="tv-land--eastern-hd/8815" | raw="TV Land - Eastern HD" | raw_xmltv_id="TVLand.us@East"
MATCH | VH1.us | VH1 | score=349 | via="VH1.us" | site_id="vh1-hd--eastern/6204" | raw="VH1 HD - Eastern" | raw_xmltv_id="VH1.us@East"
MATCH | HALLMARK.DRAMA.us | Hallmark Drama | score=163 | via="HALLMARK.DRAMA.us" | site_id="ctv-drama-hd/6797" | raw="CTV Drama HD" | raw_xmltv_id="ctv-drama-hd/6797"
MATCH | REELZ.us | REELZ | score=483 | via="REELZ" | site_id="reelzchannel-hd/8836" | raw="ReelzChannel HD" | raw_xmltv_id="reelzchannel-hd/8836"
MATCH | IFC.us | IFC | score=489 | via="IFC.us" | site_id="independent-film-channel-us-hd/6215" | raw="Independent Film Channel US HD" | raw_xmltv_id="IFC.us@East"
MATCH | OVATION.us | Ovation | score=343 | via="Ovation" | site_id="ovation-hd/8838" | raw="Ovation HD" | raw_xmltv_id="ovation-hd/8838"
MATCH | UP.TV.us | UP TV | score=475 | via="UPTV" | site_id="up/5911" | raw="UP" | raw_xmltv_id="UpTV.us@SD"
MATCH | ASPIRE.us | Aspire | score=343 | via="Aspire" | site_id="aspire-tv-hd/10761" | raw="ASPiRE TV HD" | raw_xmltv_id="aspire-tv-hd/10761"
MATCH | CINEMAX.us | Cinemax | score=349 | via="Cinemax" | site_id="cinemax--eastern-hd/3567" | raw="Cinemax - Eastern HD" | raw_xmltv_id="cinemax--eastern-hd/3567"
MATCH | CINEMAX.ACTION.us | Cinemax Action | score=404 | via="Action Max" | site_id="actionmax--eastern-hd/7094" | raw="ActionMax - Eastern HD" | raw_xmltv_id="ActionMax.us@East"
MATCH | CINEMAX.HITS.us | Cinemax Hits | score=404 | via="More Max" | site_id="moremax--eastern-hd/7097" | raw="MoreMax - Eastern HD" | raw_xmltv_id="moremax--eastern-hd/7097"
MATCH | CINEMAX.CLASSICS.us | Cinemax Classics | score=504 | via="5 Star Max" | site_id="5-star-max-hd--eastern/7093" | raw="5 Star Max HD - Eastern" | raw_xmltv_id="5-star-max-hd--eastern/7093"
MATCH | SHOWTIME.2.us | Showtime 2 | score=349 | via="Showtime 2" | site_id="showtime-2-hd--eastern/7111" | raw="Showtime 2 HD - Eastern" | raw_xmltv_id="showtime-2-hd--eastern/7111"
MATCH | STARZ.US.us | Starz | score=489 | via="Starz" | site_id="dsi-starz-hd--eastern/33754" | raw="DSI: Starz HD - Eastern" | raw_xmltv_id="dsi-starz-hd--eastern/33754"
MATCH | STARZ.CANADA.ca | Starz Canada | score=169 | via="STARZ.CANADA.ca" | site_id="dsi-starz-hd--eastern/33754" | raw="DSI: Starz HD - Eastern" | raw_xmltv_id="dsi-starz-hd--eastern/33754"
MATCH | STARZ.2.CANADA.ca | Starz 2 Canada | score=389 | via="Starz 2 HD" | site_id="starz2--east-hd/10783" | raw="STARZ2 - East HD" | raw_xmltv_id="starz2--east-hd/10783"
MATCH | CRAVE.1.ca | Crave 1 | score=489 | via="Crave1 - East HD" | site_id="crave1--east-hd/2820" | raw="Crave1 - East HD" | raw_xmltv_id="crave1--east-hd/2820"
MATCH | CRAVE.2.ca | Crave 2 | score=489 | via="Crave2 - East HD" | site_id="crave2--east-hd/7139" | raw="Crave2 - East HD" | raw_xmltv_id="crave2--east-hd/7139"
MATCH | CRAVE.3.ca | Crave 3 | score=489 | via="Crave3 - East HD" | site_id="crave3--east-hd/7137" | raw="Crave3 - East HD" | raw_xmltv_id="crave3--east-hd/7137"
MATCH | CRAVE.4.ca | Crave 4 | score=483 | via="Crave4 HD" | site_id="crave4-hd/10781" | raw="Crave4 HD" | raw_xmltv_id="crave4-hd/10781"
MATCH | MOVIEPLEX.us | MoviePlex | score=349 | via="MoviePlex" | site_id="movieplex-hd--eastern/11443" | raw="MOVIEplex HD - Eastern" | raw_xmltv_id="movieplex-hd--eastern/11443"
MATCH | RETROPLEX.us | RetroPlex | score=343 | via="RetroPlex" | site_id="retroplex-hd/8837" | raw="RETROplex HD" | raw_xmltv_id="retroplex-hd/8837"
MATCH | INDIEPLEX.us | IndiePlex | score=343 | via="IndiePlex" | site_id="indieplex-hd/9026" | raw="INDIEplex HD" | raw_xmltv_id="indieplex-hd/9026"
MATCH | SCREENPIX.us | ScreenPix | score=335 | via="ScreenPix" | site_id="screenpix-action/34660" | raw="ScreenPix: Action" | raw_xmltv_id="screenpix-action/34660"
MISS | SCREAMBOX.us | ScreamBox
MATCH | MOVIETIME.ca | MovieTime | score=398 | via="Movie Time" | site_id="movietime-hd/7807" | raw="MovieTime HD" | raw_xmltv_id="movietime-hd/7807"

Still missing:
- SCREAMBOX.us (ScreamBox)
