Raw channels: 19287
Wanted remaining channels: 129
Matched: 129
Still missing: 0

MATCH | ABC.BOSTON.us | ABC Boston | score=483 | via="WCVB" | site_id="abc-wcvb-boston-ma-hd/3661" | raw="ABC (WCVB) Boston, MA HD" | raw_xmltv_id="WCVBTV501.us@SD"
MATCH | ABC.PORTLAND.us | ABC Portland | score=483 | via="WMTW" | site_id="abc-wmtw-auburn-me-hd/3598" | raw="ABC (WMTW) Auburn, ME HD" | raw_xmltv_id="WMTW81.us@HD"
MATCH | CBS.BOSTON.us | CBS Boston | score=483 | via="WBZ" | site_id="cbs-wbz-boston-ma-hd/3653" | raw="CBS (WBZ) Boston, MA HD" | raw_xmltv_id="WBZDT1.us@SD"
MATCH | CBS.PORTLAND.us | CBS Portland | score=483 | via="WGME" | site_id="cbs-wgme-portland-me-hd/7037" | raw="CBS (WGME) Portland, ME HD" | raw_xmltv_id="WGMETV231.us@SD"
MATCH | CW.BOSTON.us | CW Boston | score=483 | via="WLVI" | site_id="cw-wlvi-boston-ma-hd/7114" | raw="CW (WLVI) Boston, MA HD" | raw_xmltv_id="cw-wlvi-boston-ma-hd/7114"
MATCH | FOX.BOSTON.us | FOX Boston | score=483 | via="WFXT" | site_id="fox-wfxt-boston-ma-hd/3657" | raw="FOX (WFXT) Boston, MA HD" | raw_xmltv_id="fox-wfxt-boston-ma-hd/3657"
MATCH | FOX.PORTLAND.us | FOX Portland | score=178 | via="FOX.PORTLAND.us" | site_id="fox-12-plus-kpdx-portland-or-hd/7077" | raw="Fox 12 Plus (KPDX) Portland, OR HD" | raw_xmltv_id="fox-12-plus-kpdx-portland-or-hd/7077"
MATCH | NBC.BOSTON.us | NBC Boston | score=483 | via="WBTS" | site_id="nbc-wbts-cd-nashua-nh-hd/30964" | raw="NBC (WBTS-CD) Nashua, NH HD" | raw_xmltv_id="nbc-wbts-cd-nashua-nh-hd/30964"
MATCH | NBC.PORTLAND.us | NBC Portland | score=483 | via="WCSH" | site_id="nbc-wcsh-portland-me-hd/4760" | raw="NBC (WCSH) Portland, ME HD" | raw_xmltv_id="WCSH61.us@HD"
MATCH | PBS.us | PBS | score=489 | via="PBS" | site_id="pbs--network-hd--eastern/4259" | raw="PBS - Network HD - Eastern" | raw_xmltv_id="pbs--network-hd--eastern/4259"
MATCH | NEW.ENGLAND.CABLE.NEWS.us | New England Cable News | score=483 | via="NECN" | site_id="necn-hd/7723" | raw="necn HD" | raw_xmltv_id="necn-hd/7723"
MATCH | INSP.us | INSP | score=483 | via="INSP" | site_id="bein-sport-canada-hd/13247" | raw="beIN Sport Canada HD" | raw_xmltv_id="beINSports.qa@Canada"
MATCH | FETV.us | FETV | score=475 | via="FETV" | site_id="fetv-family-entertainment-television/14622" | raw="FETV (Family Entertainment Television)" | raw_xmltv_id="fetv-family-entertainment-television/14622"
MATCH | GAME.SHOW.NETWORK.us | Game Show Network | score=504 | via="Game Show Network" | site_id="game-show-network--east-hd/7055" | raw="Game Show Network - East HD" | raw_xmltv_id="game-show-network--east-hd/7055"
MATCH | TCM.us | TCM | score=481 | via="TCM.us" | site_id="turner-classic-movies-usa/176" | raw="Turner Classic Movies USA" | raw_xmltv_id="TCM.us@East"
MATCH | BET.us | BET | score=489 | via="BET.us" | site_id="bet-hd--eastern-feed/6205" | raw="BET HD - Eastern Feed" | raw_xmltv_id="BET.us@East"
MATCH | DISCOVERY.CHANNEL.us | Discovery Channel | score=349 | via="DISCOVERY.CHANNEL.us" | site_id="discovery-hd-us--eastern/4466" | raw="Discovery HD (US) - Eastern" | raw_xmltv_id="discovery-hd-us--eastern/4466"
MATCH | USA.NETWORK.us | USA Network | score=489 | via="USA Network" | site_id="bravo-usa-hd--eastern-feed/6120" | raw="Bravo USA HD - Eastern Feed" | raw_xmltv_id="Bravo.us@East"
