MATCHED PROVIDER CHANNEL GROUPS
================================

CA / UK / US GROUPS
==================

[179] ASIA| UK
[1144] ASIA| UK HEVC
[1594] CA| CANADA WEST PPV
[62] CA| CANADA ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1015] CA| CBC PPV
[919] CA| CFL PPV
[584] CA| CINEMA EN
[579] CA| CINEMA FR
[574] CA| DAZN PPV
[1966] CA| DAZN PPV ⱽᴵᴾ
[588] CA| DOCUMENTARY EN
[578] CA| DOCUMENTARY FR
[1799] CA| FUBO PPV ᴿᴬᵂ
[583] CA| GENERAL EN
[576] CA| GENERAL FR
[586] CA| KIDS EN
[577] CA| KIDS FR
[581] CA| MUSIC FR
[689] CA| NEWS EN
[1988] CA| PRIME ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1451] CA| ROGERS SUPER SPORTS PACK EN
[1773] CA| SOCCER PPV
[585] CA| SPORTS EN
[580] CA| SPORTS FR
[1920] CA| SPORTSNET PPV
[1091] CA| SPORTSNET+ PPV
[1094] CA| TSN SPORT ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1930] CA| TSN+ PPV
[2012] CA| VICTORY+ PPV
[922] CA| WHL PPV
[188] UK| 24/7 ᴴᴰ/ᴿᴬᵂ
[471] UK| AMAZON PRIME PPV
[2254] UK| APPLE TV F1 PPV
[1967] UK| APPLE TV+ SERIES ᴿᴬᵂ
[1968] UK| BBC IPLAYER SERIES ᴿᴬᵂ
[1961] UK| BBC IPLAYER ᴿᴬᵂ
[2373] UK| BBC STREAM PPV
[769] UK| CHAMPIONSHIP PPV
[1062] UK| CINE PRO 4K
[1811] UK| DAZN PPV
[575] UK| DAZN PPV VIP
[381] UK| DISCOVERY+ ᴴᴰ/ᴿᴬᵂ
[1143] UK| DOCUMENTARY ʰᵉᵛᶜ
[306] UK| DOCUMENTARY ᴴᴰ/ᴿᴬᵂ
[755] UK| EPL PREMIER LEAGUE PPV
[1865] UK| EPL PREMIER LEAGUE PPV ⱽᴵᴾ
[1083] UK| ESPN+ PPV
[1428] UK| EU GAME PASS PPV
[1073] UK| FA PLAYER PPV
[1113] UK| FLORUGBY PPV
[402] UK| FORMULA 1 PPV
[1141] UK| GENERAL ʰᵉᵛᶜ
[47] UK| GENERAL ᴴᴰ/ᴿᴬᵂ
[2271] UK| HBO MAX PPV
[975] UK| HUB PREMIER PPV
[1244] UK| ITV X VIP
[1142] UK| KIDS ʰᵉᵛᶜ
[304] UK| KIDS ᴴᴰ/ᴿᴬᵂ
[976] UK| LA LIGA TEAM PPV
[766] UK| LEAGUE ONE PPV
[767] UK| LEAGUE TWO PPV
[1614] UK| LIGUE 1 PPV
[952] UK| LIVE FOOTBALL PPV
[2252] UK| MAX PPV
[1732] UK| MC VIDEO ᴴᴰ
[1993] UK| MONO MAX PPV
[305] UK| MUSIC ᴴᴰ/ᴿᴬᵂ
[1994] UK| MXGP PPV
[768] UK| NATIONAL LEAGUE PPV
[1970] UK| NETFLIX ORIGINAL ᴿᴬᵂ
[1649] UK| NETFLIX PPV
[1145] UK| NEWS ʰᵉᵛᶜ
[956] UK| NEWS ᴴᴰ/ᴿᴬᵂ
[1963] UK| NOW TV ENTERTAINMENT ᴴᴰ/ᴿᴬᵂ
[1964] UK| NOW TV SPORT ᴴᴰ/ᴿᴬᵂ
[1965] UK| NOW TV SPORT ᵁᴴᴰ ³⁸⁴⁰ᴾ
[963] UK| PDC BOARD PPV
[380] UK| PPV EVENT
[2221] UK| PPV EVENT ⁽ᴮᴷ⁾
[1969] UK| PRIME VIDEO SERIES ᴿᴬᵂ
[1985] UK| PRIME ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2377] UK| PSF PPV
[1455] UK| RALLY PPV
[1971] UK| REALITY SHOW TV ᴿᴬᵂ
[1375] UK| SCOTTISH CUP PPV
[977] UK| SERIE A TEAM PPV
[676] UK| SKY CINEMA ʰᵉᵛᶜ
[302] UK| SKY CINEMA ᴴᴰ/ᴿᴬᵂ
[1864] UK| SKY MIX DOCS ᴿᴬᵂ
[1845] UK| SKY MIX SERIES ᴿᴬᵂ
[1441] UK| SKY SPORT+ PPV ᴿᴬᵂ
[1956] UK| SKY STORE ᴿᴬᵂ
[1972] UK| SOCCER REPLAY ᴿᴬᵂ
[930] UK| SPFL/SCOTTISH PPV
[1641] UK| SPORT SD
[1730] UK| SPORT SD ⱽᴵᴾ
[978] UK| SPORT ʰᵉᵛᶜ
[303] UK| SPORT ᴴᴰ
[1729] UK| SPORT ᴴᴰ ⱽᴵᴾ
[1640] UK| SPORT ᴿᴬᵂ
[1731] UK| SPORT ᴿᴬᵂ ⱽᴵᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
[1131] UK| SUPER LEAGUE PLUS PPV
[1830] UK| TNT SPORT EVENT
[1727] UK| TNT SPORT SD ⱽᴵᴾ
[1728] UK| TNT SPORT ᴴᴰ ⱽᴵᴾ
[1726] UK| TNT SPORT ᴿᴬᵂ ⱽᴵᴾ ᴰᴼᴸᴮʸ ᴬᵁᴰᴵᴼ
[926] UK| TRILLER TV PPV
[1866] UK| TT RACES PPV
[921] UK| UEFA PPV
[929] UK| UFC PPV
[155] UK| UKRAINE HD/4K
[2078] UK| ULTIMATE POOL PPV
[932] UK| VIDIO EPL PPV
[1995] UK| VOLLEY BALL WORLD PPV
[2353] UK| WORLD CUP PPV
[2058] US| 24/7 ACTION/ADVENTURE ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2063] US| 24/7 CARTOON ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2059] US| 24/7 CLASSIC SHOWS ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2061] US| 24/7 COMEDY ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2062] US| 24/7 CRIME ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2214] US| 24/7 DISNEY+ ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2064] US| 24/7 KIDS/FAMILY ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2057] US| 24/7 MOVIES/ACTORS ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1940] US| 24/7 ONEPLAY ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[619] US| 24/7 PPV ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2213] US| 24/7 PRIME VIDEO ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2060] US| 24/7 REALITY ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[602] US| ABC ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2253] US| APPLE TV F1 PPV
[1257] US| B/R MAX SPORTS PPV
[603] US| BALLY SPORTS PPV
[961] US| BTN+ PPV
[601] US| CBS ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1110] US| CINEMA TV SHOWS ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1109] US| CINEMANIA HOLLYWOOD ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[599] US| CW ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[573] US| DAZN PPV
[2036] US| DIREC TV ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2049] US| DIREC TV ᶜᶦᵗʸ ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[925] US| DIRTVISION PPV
[1884] US| DISNEY+ NETWORK ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[58] US| ENTERTAINMENT ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[911] US| ESPN+ PPV
[1960] US| ESPN+ PPV ⱽᴵᴾ
[1882] US| FIFA+ PPV
[1928] US| FLO COLLEGE PPV
[1926] US| FLO RACING PPV
[960] US| FLO SPORTS PPV
[2014] US| FLO ⱽᴵᴾ PPV
[598] US| FOX ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1992] US| GOLF PPV
[1886] US| HBO MAX NETWORK ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[490] US| KIDS ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[931] US| MATCHROOM PPV
[1996] US| MAX PPV
[1393] US| MAX PPV ⱽᴵᴾ
[1033] US| MIAMI ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1192] US| MILB PPV
[2302] US| MILB PPV ⁽ᴮᴷ⁾
[606] US| MLB PPV
[1185] US| MLB TEAM PPV
[607] US| MLS PPV
[1151] US| MLS PPV VIP
[2301] US| MLS PPV ⁽ᴮᴷ⁾
[493] US| MOVIES ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[2094] US| NBA PASS PPV ⁸ᴷ
[605] US| NBA PPV
[1016] US| NBA TEAM PPV
[600] US| NBC ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ
[1014] US| NCAAB PPV
[688] US| NCAAF PPV
