PBS.us@East  ← master list: PBS
GameShowNetwork.us@East  ← master list: GAME SHOW NETWORK
TCM.us@East  ← master list: TCM
OWN.us@East  ← master list: OWN
BET.us@East  ← master list: BET
DiscoveryChannel.us@East  ← master list: DISCOVERY CHANNEL
Freeform.us@East  ← master list: FREEFORM
USANetwork.us@East  ← master list: USA NETWORK
ESPN.us@SD  ← master list: ESPN
ESPN2.us@SD  ← master list: ESPN 2 HD
WeTV.us@East  ← master list: WE
Oxygen.us@East  ← master list: OXYGEN
DisneyChannel.us@East  ← master list: DISNEY CHANNEL
CartoonNetwork.us@East  ← master list: CARTOON NETWORK
Nickelodeon.us@East  ← master list: NICKELODEON
MSNBC.us@SD  ← master list: MS NOW
CNN.us@SD  ← master list: CNN
HLN.us@SD  ← master list: HLN
CNBC.us@SD  ← master list: CNBC
FoxNewsChannel.us@SD  ← master list: FOX NEWS
TNT.us@East  ← master list: TNT
Lifetime.us@East  ← master list: LIFETIME
TLC.us@East  ← master list: TLC
AMC.us@East  ← master list: AMC
HGTV.us@East  ← master list: HGTV
TravelChannel.us@East  ← master list: TRAVEL CHANNEL
FoodNetwork.us@East  ← master list: FOOD NETWORK
Bravo.us@East  ← master list: BRAVO
truTV.us@East  ← master list: TRU TV
HallmarkChannel.us@East  ← master list: HALLMARK CHANNEL
Syfy.us@East  ← master list: SYFY
AnimalPlanet.us@East  ← master list: ANIMAL PLANET
TheWeatherChannel.us@SD  ← master list: THE WEATHER CHANNEL
ParamountNetwork.us@East  ← master list: PARAMOUNT NETWORK
ComedyCentral.us@East  ← master list: COMEDY CENTRAL
FX.us@East  ← master list: FX
FXX.us@East  ← master list: FXX
E.us@East  ← master list: E! ENTERTAINMENT
FXMovieChannel.us@SD  ← master list: FXM
TVLand.us@East  ← master list: TV LAND
TBS.us@East  ← master list: TBS
VH1.us@East  ← master list: VH1
MTV.us@East  ← master list: MTV
CMT.us@East  ← master list: CMT
DestinationAmerica.us@SD  ← master list: DESTINATION AMERICA
MagnoliaNetwork.us@East  ← master list: MAGNOLIA
DiscoveryLife.us@SD  ← master list: DISCOVERY LIFE
NationalGeographicWild.us@East  ← master list: NAT GEO WILD
SmithsonianChannel.us@East  ← master list: SMITHSONIAN CHANNEL
BBCAmerica.us@East  ← master list: BBC AMERICA
HallmarkMoviesMysteries.us@East  ← master list: HALLMARK MYSTERY
Pop.us@East  ← master list: POP
CrimePlusInvestigation.us@SD  ← master list: CRIME AND INVESTIGATION
VICETV.us@SD  ← master list: VICE
InvestigationDiscovery.us@East  ← master list: INVESTIGATION DISCOVERY
Reelz.us@SD  ← master list: REELZ
DiscoveryFamily.us@SD  ← master list: DISCOVERY FAMILY
AmericanHeroesChannel.us@SD  ← master list: AMERICAN HEROES CHANNEL
Fuse.us@East  ← master list: FUSE
MTV2.us@East  ← master list: MTV 2
IFC.us@East  ← master list: IFC
FYI.us@East  ← master list: FYI
CookingChannel.us@SD  ← master list: COOKING CHANNEL
Logo.us@East  ← master list: LOGO
FoxSports2.us@HD  ← master list: FOX SPORTS 2
FoxSports1.us@HD  ← master list: FOX SPORTS 1
NFLNetwork.us@SD  ← master list: NFL NETWORK
NHLNetwork.us@SD  ← master list: NHL NETWORK
MLBNetwork.us@SD  ← master list: MLB NETWORK
NBATV.us@SD  ← master list: NBA TV
CBSSportsNetworkUSA.us@SD  ← master list: CBS SPORTS NETWORK
ESPNews.us@SD  ← master list: ESPN NEWS
Ovation.us@SD  ← master list: OVATION
OutdoorChannel.us@SD  ← master list: OUTDOOR CHANNEL
GreatAmericanFamily.us@SD  ← master list: GREAT AMERICAN FAMILY
ThrillerMax.us@East  ← premium movie sweep
ShowtimeFamilyZone.us@East  ← premium movie sweep
StarzEncoreBlack.us@East  ← premium movie sweep
ShowtimeWomen.us@East  ← premium movie sweep
StarzEncoreClassic.us@East  ← premium movie sweep
HBOFamily.us@East  ← premium movie sweep
ShowtimeExtreme.us@East  ← premium movie sweep
HBO.us@East  ← premium movie sweep
MGMPlusDriveIn.us@SD  ← premium movie sweep
StarzKidsFamily.us@East  ← premium movie sweep
HBOComedy.us@East  ← premium movie sweep
MGMHD.us@SD  ← premium movie sweep
StarzEncore.us@East  ← premium movie sweep
StarzEncoreSuspense.us@East  ← premium movie sweep
StarzEncoreFamily.us@East  ← premium movie sweep
StarzInBlack.us@East  ← premium movie sweep
OuterMax.us@East  ← premium movie sweep
ActionMax.us@East  ← premium movie sweep
Showtime.us@East  ← premium movie sweep
ShowtimeNext.us@East  ← premium movie sweep
Showtime2.us@East  ← premium movie sweep
MGMPlusMarquee.us@SD  ← premium movie sweep
Flix.us@East  ← premium movie sweep
MovieMax.us@East  ← premium movie sweep
HBO2.us@East  ← premium movie sweep
StarzComedy.us@East  ← premium movie sweep
ShowtimeShowcase.us@East  ← premium movie sweep
StarzEncoreAction.us@East  ← premium movie sweep
StarzEncoreWesterns.us@East  ← premium movie sweep
HBOSignature.us@East  ← premium movie sweep
StarzCinema.us@East  ← premium movie sweep
Cinemax.us@East  ← premium movie sweep
HBOZone.us@East  ← premium movie sweep
StarzEdge.us@East  ← premium movie sweep
5StarMax.us@East  ← premium movie sweep
MGMPlusHits.us@East  ← premium movie sweep
Starz.us@East  ← premium movie sweep
MoreMax.us@East  ← premium movie sweep
